Time,PFT,PFM,PCC,MFT
1457.1460000000006,529.584,438.384,421.529,1.16164
1457.1630000000005,529.538,438.235,421.381,1.16164
1457.2649999999994,529.374,437.471,420.544,1.17108
1457.3549999999996,529.261,436.776,419.799,1.16963
1457.3709999999992,529.233,436.708,419.725,1.1718
1457.4720000000016,529.001,435.859,419.085,1.18632
1457.5210000000006,528.919,435.48,418.882,1.1718
1457.612000000001,528.723,434.776,418.174,1.16382
1457.6160000000018,528.723,434.776,418.174,1.16382
1457.697,528.56,434.166,417.62,1.166
1457.7129999999995,528.56,434.013,417.46,1.16963
1457.8050000000003,528.368,433.335,416.796,1.17979
1457.816999999999,528.368,433.263,416.728,1.16237
1457.9190000000017,528.368,432.459,416.069,1.17253
1457.9670000000006,528.414,432.166,415.737,1.16963
1458.0149999999994,528.519,431.787,415.386,1.17761
1458.0879999999995,528.587,431.267,414.937,1.16672
1458.1130000000012,528.623,431.051,414.709,1.16963
1458.2059999999983,528.682,430.346,414.069,1.16745
1458.2170000000006,528.678,430.283,414.001,1.17035
1458.3240000000003,528.723,429.488,413.379,1.16817
1458.3719999999994,528.796,429.127,413.035,1.18777
1458.4429999999993,528.906,428.63,412.518,1.166
1458.469000000001,528.924,428.409,412.29,1.16454
1458.5819999999983,529.12,427.61,411.564,1.16164
1458.66,529.211,427.032,411.071,1.16817
1458.6769999999997,529.238,426.96,411.016,1.17108
1458.7799999999988,529.42,426.179,410.283,1.15729
1458.8290000000015,529.479,425.822,409.883,1.1689
1458.8990000000013,529.547,425.307,409.477,1.16745
1458.923999999999,529.598,425.167,409.329,1.16237
1459.012999999999,529.506,424.517,408.788,1.16817
1459.0210000000006,529.493,424.445,408.72,1.1718
1459.0989999999983,529.506,423.871,408.178,1.16672
1459.1160000000018,529.493,423.799,408.111,1.18124
1459.2230000000018,529.397,423.022,407.36,1.17035
1459.316999999999,529.352,422.386,406.775,1.19648
1459.3309999999983,529.329,422.246,406.646,1.18051
1459.458999999999,529.211,421.324,405.796,1.1689
1459.5119999999988,529.188,420.968,405.452,1.16817
1459.6049999999996,529.179,420.318,404.824,1.17761
1459.6130000000012,529.192,420.25,404.756,1.17688
1459.6850000000013,529.156,419.753,404.332,1.17616
1459.7129999999995,529.147,419.536,404.067,1.15511
1459.762999999999,529.056,419.193,403.784,1.1718
1459.833999999999,529.165,418.678,403.316,1.17108
1459.8640000000014,529.188,418.471,403.094,1.16527
1459.9559999999983,529.252,417.816,402.43,1.17761
1459.9629999999995,529.274,417.748,402.362,1.17761
1460.0400000000009,529.425,417.184,401.808,1.17543
1460.0639999999985,529.352,417.053,401.709,1.16527
1460.1539999999986,529.493,416.421,401.082,1.18342
1460.1630000000005,529.511,416.344,401.008,1.18269
1460.2259999999987,529.625,415.915,400.669,1.18269
1460.262999999999,529.698,415.631,400.38,1.1856
1460.3349999999991,529.743,415.134,399.931,1.18414
1460.3630000000012,529.775,414.922,399.764,1.1885
1460.4209999999985,529.848,414.506,399.395,1.19285
1460.4629999999995,529.862,414.226,399.137,1.1914
1460.6059999999998,529.821,413.265,398.183,1.18124
1460.6579999999994,529.862,412.908,397.764,1.18124
1460.7160000000003,529.971,412.488,397.512,1.18632
1460.7619999999988,530.007,412.154,397.161,1.18487
1460.8129999999985,529.939,411.833,396.847,1.18051
1460.8640000000014,529.916,411.49,396.551,1.2052
1460.9130000000005,529.939,411.178,396.151,1.19576
1460.9629999999995,529.898,410.849,395.862,1.19648
1461.012999999999,529.898,410.515,395.585,1.1914
1461.0629999999985,529.903,410.176,395.253,1.21391
1461.1130000000012,529.862,409.842,394.957,1.20084
1461.1630000000005,529.784,409.521,394.68,1.20374
1461.2129999999995,529.689,409.21,394.36,1.211
1461.262999999999,529.579,408.88,394.089,1.21173
1461.3129999999985,529.479,408.56,393.757,1.20737
1461.3630000000012,529.475,408.225,393.412,1.21245
1461.414000000001,529.352,407.891,393.142,1.19939
1461.4629999999995,529.242,407.557,392.834,1.20011
1461.5319999999992,529.16,407.079,392.403,1.20302
1461.5629999999985,529.106,406.884,392.237,1.20665
1461.6650000000009,529.088,406.243,391.646,1.20592
1461.7560000000012,529.024,405.652,391.043,1.19358
1461.7659999999996,529.042,405.579,390.987,1.22117
1461.875,528.924,404.825,390.298,1.20229
1461.9229999999989,528.837,404.496,390.033,1.20084
1462.0089999999982,528.642,403.877,389.338,1.20592
1462.0200000000004,528.614,403.814,389.295,1.19794
1462.1140000000014,528.678,403.209,388.698,1.18777
1462.130000000001,528.673,403.073,388.575,1.21245
1462.2360000000008,528.696,402.405,387.891,1.19068
1462.2839999999997,528.737,402.062,387.534,1.1856
1462.34,528.705,401.674,387.183,1.18414
1462.380000000001,528.746,401.407,386.931,1.19721
1462.428,528.824,401.154,386.697,1.19285
1462.4860000000008,528.896,400.775,386.223,1.1885
1462.5240000000013,528.937,400.527,386.008,1.18487
1462.59,529.015,400.062,385.528,1.19721
1462.619999999999,529.038,399.886,385.355,1.19866
1462.6749999999993,529.01,399.556,385.005,1.20737
1462.7160000000003,528.974,399.294,384.734,1.20955
1462.7639999999992,528.937,398.978,384.389,1.19866
1462.822,528.992,398.59,383.964,1.20592
1462.8729999999996,529.065,398.283,383.62,1.21971
1462.9130000000005,529.001,398.03,383.386,1.21173
1462.9969999999994,529.028,397.501,382.949,1.20882
1463.0139999999992,529.065,397.375,382.789,1.20737
1463.148000000001,529.056,396.467,381.804,1.20882
1463.2000000000007,529.566,396.133,381.484,1.21391
1463.2720000000008,530.23,395.668,381.028,1.19503
1463.3270000000011,530.317,395.339,380.733,1.20882
1463.357,530.317,395.144,380.548,1.19866
1463.4079999999994,530.262,394.824,380.204,1.19358
1463.4789999999994,530.203,394.296,379.791,1.18632
1463.512999999999,530.153,394.101,379.582,1.18705
1463.6399999999994,530.135,393.243,378.825,1.19866
1463.7210000000014,530.18,392.715,378.271,1.18923
1463.744999999999,530.189,392.584,378.172,1.1885
1463.8499999999983,530.117,391.857,377.483,1.18632
1463.923999999999,530.162,391.406,377.009,1.18705
1463.9550000000015,530.167,391.207,376.824,1.18414
1464.039000000001,530.176,390.616,376.363,1.17979
1464.058000000001,530.171,390.561,376.258,1.18197
1464.1100000000006,530.126,390.191,375.926,1.16454
1464.1620000000005,529.921,389.857,375.686,1.16237
1464.214,529.511,389.541,375.396,1.14132
1464.2710000000006,528.928,389.148,375.009,1.15438
1464.3129999999985,528.842,388.904,374.75,1.15583
1464.4039999999986,528.883,388.317,374.252,1.16382
1464.416000000001,528.878,388.258,374.104,1.16309
1464.566999999999,529.069,387.315,373.125,1.18995
1464.6160000000018,529.047,386.999,372.83,1.17253
1464.6879999999985,529.024,386.561,372.405,1.17108
1464.7129999999995,529.01,386.358,372.239,1.17253
1464.8499999999983,528.774,385.477,371.377,1.18051
1464.934000000001,528.673,384.976,370.897,1.17253
1464.9540000000015,528.669,384.849,370.762,1.15003
1465.0560000000005,528.587,384.213,370.171,1.16309
1465.1219999999994,528.578,383.779,369.789,1.15656
1465.161,528.564,383.54,369.549,1.16382
1465.2429999999986,528.514,383.057,369.106,1.17471
1465.262999999999,528.509,382.939,368.946,1.17688
1465.3199999999997,528.469,382.56,368.583,1.16237
1465.3630000000012,528.437,382.325,368.324,1.18414
1465.433000000001,528.359,381.887,367.937,1.1856
1465.464,528.323,381.689,367.752,1.18124
1465.512999999999,528.259,381.386,367.512,1.19939
1465.5629999999985,528.182,381.084,367.29,1.16817
1465.6219999999994,528.15,380.722,366.933,1.18124
1465.6630000000005,528.163,380.479,366.786,1.17688
1465.7129999999995,528.209,380.176,366.582,1.18269
1465.7639999999992,528.255,379.896,366.299,1.16454
1465.8129999999985,528.514,379.598,365.955,1.17253
1465.8630000000012,528.582,379.3,365.739,1.16454
1465.9130000000005,528.614,379.002,365.542,1.15874
1465.9629999999995,528.619,378.695,365.259,1.17398
1466.0139999999992,528.601,378.397,365.001,1.18197
1466.0639999999985,528.619,378.117,364.687,1.17398
1466.130000000001,528.623,377.711,364.317,1.18197
1466.1630000000005,528.642,377.525,364.17,1.1885
1466.2230000000018,528.678,377.173,363.85,1.19213
1466.262999999999,528.714,376.934,363.665,1.20157
1466.3489999999983,528.783,376.397,363.136,1.17834
1466.3640000000014,528.783,376.333,363.062,1.17834
1466.4130000000005,528.805,376.053,362.852,1.17398
1466.4929999999986,528.842,375.579,362.446,1.1914
1466.512999999999,528.851,375.462,362.292,1.16745
1466.6330000000016,528.933,374.721,361.584,1.18051
1466.6800000000003,528.933,374.428,361.32,1.15946
1466.7649999999994,528.887,373.94,360.895,1.16019
1466.7760000000017,528.787,373.882,360.834,1.16091
1466.8240000000003,528.737,373.575,360.563,1.15583
1466.8719999999994,528.819,373.281,360.28,1.166
1466.929,528.997,372.924,359.904,1.17035
1466.9680000000008,529.133,372.744,359.793,1.166
1467.0169999999998,529.124,372.441,359.59,1.14567
1467.1470000000008,529.261,371.655,358.913,1.16527
1467.1990000000003,529.411,371.294,358.488,1.1885
1467.2750000000017,529.557,370.874,358.101,1.17616
1467.303,529.675,370.703,357.947,1.166
1467.3559999999998,529.825,370.396,357.774,1.16672
1467.4069999999992,529.975,370.102,357.596,1.17471
1467.458999999999,530.144,369.745,357.214,1.16164
1467.5109999999986,530.308,369.452,356.864,1.16382
1467.6440000000002,530.608,368.702,356.174,1.17471
1467.7340000000004,530.831,368.165,355.589,1.166
1467.7479999999996,530.859,368.048,355.503,1.16745
1467.8830000000016,531.164,367.276,354.974,1.1718
1467.9720000000016,531.141,366.743,354.5,1.18342
1467.9840000000004,531.173,366.684,354.438,1.1885
1468.1110000000008,531.45,365.93,353.688,1.17979
1468.1630000000005,531.378,365.623,353.367,1.18705
1468.25,531.236,365.113,352.906,1.18414
1468.262999999999,531.223,365.063,352.826,1.18342
1468.339,531.05,364.621,352.376,1.17108
1468.3640000000014,531.018,364.503,352.186,1.1689
1468.4520000000011,530.895,363.988,351.736,1.16817
1468.4629999999995,530.886,363.93,351.656,1.16454
1468.512999999999,530.813,363.645,351.521,1.16745
1468.6080000000002,530.717,363.135,351.109,1.1885
1468.6179999999986,530.695,363.031,350.973,1.18923
1468.6630000000005,530.622,362.814,350.721,1.18632
1468.732,530.608,362.426,350.382,1.19285
1468.7639999999992,530.54,362.264,350.198,1.21028
1468.8499999999983,530.244,361.758,349.656,1.19213
1468.8640000000014,530.217,361.708,349.551,1.19431
1468.982,529.953,361.049,348.997,1.18705
1469.0679999999993,530.167,360.597,348.542,1.18342
1469.0819999999983,530.103,360.489,348.523,1.17834
1469.1260000000002,530.13,360.272,348.406,1.18777
1469.2230000000018,530.29,359.703,348.062,1.17979
1469.3760000000002,530.371,358.841,347.292,1.17979
1469.4249999999993,530.39,358.556,346.972,1.17834
1469.523000000001,530.34,357.978,346.375,1.17471
1469.6009999999987,530.208,357.531,345.901,1.18487
1469.6179999999986,530.194,357.41,345.803,1.18051
1469.7230000000018,529.944,356.854,345.218,1.18414
1469.7710000000006,529.903,356.574,344.923,1.18777
1469.8590000000004,530.012,356.073,344.529,1.19358
1469.8679999999986,530.012,356.073,344.529,1.19358
1469.9449999999997,529.975,355.626,344.061,1.18705
1469.964,529.953,355.513,343.95,1.1885
1470.0879999999995,529.506,354.827,343.205,1.16963
1470.164000000001,529.283,354.38,342.818,1.17108
1470.1929999999993,529.188,354.24,342.645,1.16745
1470.286,529.028,353.73,341.956,1.19068
1470.296999999999,529.015,353.671,341.907,1.18923
1470.362000000001,528.915,353.282,341.482,1.1914
1470.4010000000017,528.878,353.057,341.26,1.18632
1470.4840000000004,528.819,352.61,340.817,1.19285
1470.5040000000008,528.819,352.497,340.725,1.19213
1470.5600000000013,528.792,352.167,340.497,1.19358
1470.6080000000002,528.828,351.946,340.374,1.2052
1470.6650000000009,529.283,351.612,340.085,1.20302
1470.7119999999995,529.725,351.318,339.882,1.19939
1470.8189999999995,529.575,350.709,339.223,1.19431
1470.8660000000018,529.461,350.483,339.008,1.17761
1470.976999999999,529.27,349.86,338.374,1.17035
1471.054,529.142,349.417,337.974,1.18777
1471.0740000000003,529.11,349.313,337.857,1.18923
1471.171999999999,529.056,348.767,337.229,1.1914
1471.2200000000012,528.974,348.487,336.995,1.18705
1471.2900000000009,528.969,348.103,336.65,1.18269
1471.315999999999,528.978,348.004,336.533,1.17761
1471.3990000000013,528.937,347.498,336.084,1.19285
1471.414000000001,528.91,347.444,336.022,1.18414
1471.4840000000004,528.787,347.065,335.745,1.18124
1471.5139999999992,528.769,346.916,335.536,1.166
1471.6219999999994,528.687,346.311,334.73,1.1718
1471.6709999999985,528.309,346.035,334.422,1.17253
1471.7180000000008,527.954,345.828,334.188,1.16309
1471.816999999999,528.123,345.277,333.733,1.16817
1471.8650000000016,528.159,345.024,333.536,1.17035
